,series_name,description,country,raw_category_name,director_name,actor_name
0,"Đường Bá Hổ Điểm Thu Hương, Flirting Scholar","đường bá hổ điểm thu hương , flirting scholar anh chàng đường bá hổ đào hoa và mê thơ , sống buồn chán với tám bà vợ . cho đến một ngày kia , tình yêu đích thực điểm thu hương xuất hiện nhưng buồn thay , gia đình hai bên không hợp nhau . liệu bá hổ và thu hương có vượt qua được ngăn cách từ gia đình để đến với nhau ?",hồng kông,"['hài hước', 'cổ trang', 'lãng mạn']",lý lực trì,['châu tinh trì' 'củng lợi' 'other']
1,"Quốc Sản 007, From Beijing With Love","quốc sản 007 , from beijing with love một kẻ dùng súng vàng ăn cắp hóa thạch sọ khủng long duy nhất của trung quốc . lăng lăng tất , một cựu tình báo viên kiêm bán dạo thịt lợn nhận nhiệm vụ đi tìm lại vật quý với đầu mối ở hồng kông . thế nhưng , điệp vụ lần này không đơn giản chỉ là tìm ra kẻ xấu .",hồng kông,"['hành động', 'tâm lý']",lý lực trì,['châu tinh trì' 'la gia anh' 'other']
2,"Một Ngày Làm Thượng Đế, Bruce Almighty","một ngày làm thượng đế , bruce almighty cuộc đời thật bất công , chắc chắn chúa trời đang "" chơi xỏ "" mình - đó là suy nghĩ của anh chàng phóng viên truyền hình bruce nolan khi cuộc sống liên tiếp rơi vào bế tắc . ai trong chúng ta cũng từng rơi vào hoàn cảnh như bruce nolan , nhưng có lẽ chỉ có mình anh mới được chúa trời xuất hiện và trao cho anh quyền năng tối thượng để thay ông "" làm việc "" . liệu rằng bruce nolan với những phép màu thần thánh có thay chúa làm việc hiệu quả hơn hay không ? một bộ phim hài hước , duyên dáng mang nhiều ý nghĩa sâu sắc sẽ làm hài lòng bất cứ người xem khó tính nào , đặc biệt "" cây hài "" nổi tiếng jim carrey cũng là cái tên đảm bảo cho tiếng cười không ngớt trong 90 phút sắp tới ! có những người tự dưng bị chúa trời "" nhờ vả """,mỹ,['hài hước'],unknow,['jennifer aniston' 'jim carrey' 'morgan freeman']
3,"Khách Sạn Grand Budapest, The Grand Budapest Hotel","khách sạn grand budapest , the grand budapest hotel nhân vật chính của cuộc phiêu lưu là gustave h , một người quản lý khách sạn huyền thoại tại một khách sạn nổi tiếng ở châu âu giữa 2 cuộc thế chiến , và zero moustafa , một nhân viên khách sạn mà sau này đã trở thành người bạn thân tin nhất của ông . chuyện phim xoay quanh vụ trộm và cuộc tìm kiếm một bức tranh vô giá thời phục hưng và cuộc chiến tranh dành một tài sản kếch xù trong một gia đình - tất cả đều diễn ra trong giai đoạn xã hội đang có những biến chuyển sâu sắc và bất ngờ . bộ phim của những điều huyền bí .",mỹ,"['hài hước', 'tâm lý']",wes anderson,['other' 'ralph fiennes']
4,"Chú Gấu Ted, Ted","chú gấu ted , ted trong đêm giáng sinh chú bé john đã ước ted có thể cử động và nói chuyện được , thật bất ngờ điều ước trở thành hiện thực . cuộc sống của john đã hoàn toàn thay đổi từ đó những rắc rối xuất hiện khi john ở tuổi “ băm ” lăm . ted không đơn giản chỉ là câu chuyện của cậu bé và con gấu bông mà chứa đựng trong những điều giản đơn đó là những thông điệp ý nghĩa từ cuộc sống mà tác giả muốn nhắn nhủ , qua bộ phim người xem sẽ rút ra cho chính mình .",mỹ,['hài hước'],seth macfarlane,['mark wahlberg' 'mila kunis' 'seth macfarlane']
5,"Ở Nhà Một Mình 2, Home Alone 2: Lost in New York","ở nhà một mình 2 , home alone 2 : lost in new york lại một lần nữa gia đình mccallister bỏ quên cậu con trai bé bỏng trong chuyến đi nghỉ tại florida . thay vì đi cùng cả nhà , cậu lên nhầm chuyến bay sang new york . không những tự mình xoay xở ở chốn phồn hoa , cậu còn phá tan âm mưu của hai tên trộm “ người quen ” vừa mới ra tù ...",mỹ,"['hài hước', 'gia đình']",chris columbus,"[""catherine o'hara"" 'joe pesci' 'macaulay culkin' 'other']"
6,"Ở Nhà Một Mình, Home Alone","ở nhà một mình , home alone gia đình bác frank đi nghỉ giáng sinh cùng gia đình của kevin . buổi sáng ra sân bay , cả nhà trễ giờ , trong lúc lộn xộn , cậu bé kenvin bị bỏ lại ở nhà một mình mà không ai hay biết . trong lúc đó , hai tên trộm xấu xa tìm đến nhà cậu . vượt qua sự sợ hãi ban đầu , một mình cậu với sự thông minh và lòng can đảm tuyệt vời chiến đấu với hai kẻ trộm để bảo vệ căn nhà của mình và khán giả được một dịp cười vỡ bụng ...",mỹ,"['hài hước', 'gia đình']",chris columbus,['joe pesci' 'macaulay culkin' 'other']
7,"Đêm Ở Viện Bảo Tàng 2 : Trận Chiến Hoàng Gia, Night at the Museum: Battle of the Smithsonian","đêm ở viện bảo tàng 2 : trận chiến hoàng gia , night at the museum : battle of the smithsonian lại một lần nữa bảo tàng lịch sử tự nhiên đóng cửa để trùng tu , các hiện vật và mẫu tượng tại đây được chuyển đến kho dự trữ liên bang . larry daley không còn làm việc gác bảo tàng ban đêm nữa , nhưng khi biết tin các bạn cũ – tượng cựu tổng thống roosevelt và chàng cao bồi jedediah đang gặp nạn tại nơi ở mới , larry mạo hiểm thâm nhập vào kho dự trữ liên bang để giúp các bạn . vẫn là đêm kinh hoàng với larry khi các hiện vật tiếp tục nổi loạn . câu chuyện giả tưởng về các hiện vật sống lại đã thu hút sự chú ý của hàng triệu người trên thế giới . night at the museum 2 battle of the smithsonian hấp dẫn ở cốt truyện lạ , hài hước pha chút hành động mạo hiểm .",mỹ,"['hành động', 'hài hước', 'gia đình']",shawn levy,['amy adams' 'ben stiller' 'owen wilson']
8,"Đêm Ở Viện Bảo Tàng, Night at the Museum","đêm ở viện bảo tàng , night at the museum night at the museum ( đêm ở viện bảo tàng ) xoay quanh nhân vật larry daley , một anh chàng hay mộng mơ , suốt ngày nghĩ mình là người vĩ đại nhưng chưa gặp thời . để con trai không nghĩ mình là một kẻ lông bông , anh chàng quết định nhận một chân gác đêm tại bảo tàng lịch sử và tự nhiên . nhưng anh không ngờ rằng , ban ngày , viện bảo tàng cũng như bao bảo tàng khác , nhưng đến đêm , tất cả những hình nộm người , thú và các đồ vật đều đồng loạt sống dậy và thi nhau làm loạn .",mỹ,"['hành động', 'hài hước', 'gia đình']",shawn levy,['ben stiller' 'owen wilson' 'rami malek' 'robin williams']
9,"Đêm Ở Viện Bảo Tàng 3: Bí Mật Hầm Mộ, Night At The Museum: Secret Of The Tomb","đêm ở viện bảo tàng 3 : bí mật hầm mộ , night at the museum : secret of the tomb anh chàng gác đêm michael một lần nữa sẽ theo viện bảo tàng đến xứ sở hoa anh đào để công tác . không quên mang theo những người bạn tí hon của mình , và đặc biệt là tấm bài vị thần kì quý giả của vua ai cập . cùng những nhân vật sống dậy từ bảo tàng , micheal bắt đầu một chuyến phiêu lưu đầy hài hước . phiên gác cuối của phép màu .",mỹ,"['hài hước', 'hành động']",shawn levy,['ben stiller' 'owen wilson' 'robin williams']
